iter	Logloss
281	0.5361120729
282	0.5361104129
283	0.5359383174
284	0.5356969776
285	0.5353973588
286	0.5353973588
287	0.535316209
288	0.5353139601
289	0.5352750826
290	0.535275082
291	0.5351160197
292	0.5349978251
293	0.5349573156
294	0.5348673769
295	0.5348550684
296	0.5348550681
297	0.534855068
298	0.5347914389
299	0.5347508859
300	0.5347272827
301	0.534727282
302	0.5346974849
303	0.5346974847
304	0.5346555796
305	0.5346311149
306	0.5346311145
307	0.5346231002
308	0.5346174064
309	0.5344928494
310	0.5344605091
311	0.5344605083
312	0.5344161275
313	0.5344148385
314	0.5344023595
315	0.5343875449
316	0.5343786954
317	0.5343619312
318	0.5343582575
319	0.5343411203
320	0.5343411202
321	0.5343396408
322	0.5343154489
323	0.5342265152
324	0.5342191774
325	0.5341204044
326	0.5341050618
327	0.5341050615
328	0.5340859844
329	0.5340539545
330	0.5340419468
331	0.5339947528
332	0.5339947525
333	0.5339461694
334	0.533946169
335	0.5337453136
336	0.5337205854
337	0.5337203494
338	0.5336813156
339	0.533668535
340	0.5336685345
341	0.5335937678
342	0.5334625238
343	0.5334625231
344	0.5334625225
345	0.5334297218
346	0.5333781313
347	0.533312904
348	0.5331813937
349	0.5330817744
350	0.5330817734
351	0.5330817726
352	0.5330494415
353	0.5330014035
354	0.5328217465
355	0.5327860389
356	0.5327122594
357	0.5327122584
358	0.5327122574
359	0.5326587949
360	0.5326397377
361	0.5326099848
362	0.5325410712
363	0.5324695092
364	0.5323344315
365	0.5323344308
366	0.5322956877
367	0.5322956875
368	0.5322956869
369	0.5322956863
370	0.5321702797
371	0.532111364
372	0.5320714906
373	0.5320613756
374	0.5320591908
375	0.5320591869
376	0.5320165075
377	0.532014703
378	0.5320142536
379	0.5319708699
380	0.5319113993
381	0.5318550667
382	0.5317503474
383	0.5317501099
384	0.5317452501
385	0.5317150874
386	0.5315581512
387	0.5315213197
388	0.5315213195
389	0.5315212574
390	0.5314808416
391	0.5314808415
392	0.5314808415
393	0.5310983287
394	0.5310223775
395	0.5309797135
396	0.5309570416
397	0.5309570416
398	0.5308969514
399	0.5306917256
400	0.5306519245
401	0.5306305046
402	0.5306122062
403	0.5305652949
404	0.5305652945
405	0.5305652942
406	0.5304364016
407	0.530436397
408	0.5303869916
409	0.5302947883
410	0.530240536
411	0.5301861263
412	0.5299510376
413	0.529905023
414	0.5299040532
415	0.5297618228
416	0.5297618221
417	0.5297618219
418	0.5297191347
419	0.5296475404
420	0.5295353645
421	0.5294804866
422	0.5294804865
423	0.5294803518
424	0.5294798639
425	0.5294785041
426	0.5294467166
427	0.5293569096
428	0.5293569093
429	0.5293569091
430	0.5292838476
431	0.5292580342
432	0.5289341185
433	0.5288861924
434	0.5288450589
435	0.528827254
436	0.5287785435
437	0.528778543
438	0.5287768533
439	0.5287768529
440	0.5287331628
441	0.5286519593
442	0.5286416689
443	0.5285799334
444	0.5285797953
445	0.5284326065
446	0.5282714709
447	0.5282352351
448	0.5281359577
449	0.5279636126
450	0.527946879
451	0.5279468542
452	0.5279467638
453	0.5278848113
454	0.5278845462
455	0.5278576336
456	0.5277839739
457	0.5277393688
458	0.5277393687
459	0.5277333503
460	0.5277333111
461	0.527733311
462	0.5277332489
463	0.5277259728
464	0.5277118279
465	0.5277118278
466	0.5276453247
467	0.5276453246
468	0.5276173865
469	0.5276173863
470	0.5275168349
471	0.5274960779
472	0.527439192
473	0.5274102843
474	0.5273765388
475	0.5272099529
476	0.5271628719
477	0.5271628716
478	0.5270575579
479	0.5269292142
480	0.5268498851
481	0.526849885
482	0.526849885
483	0.526849885
484	0.5268498849
485	0.526821012
486	0.5268194948
487	0.5268194944
488	0.5267632923
489	0.526713245
490	0.5266618254
491	0.5266507777
492	0.5266506887
493	0.526605221
494	0.526500009
495	0.5264552683
496	0.5263714741
497	0.5263689436
498	0.526293755
499	0.526264173
500	0.5262579964
501	0.5261992053
502	0.5261488452
503	0.5261488403
504	0.5261263795
505	0.5261263513
506	0.526126351
507	0.5260770756
508	0.5260388461
509	0.5260313753
510	0.5260303921
511	0.526030356
512	0.5260192189
513	0.5260192187
514	0.5260192181
515	0.5259228537
516	0.5259228536
517	0.5258923406
518	0.5258919421
519	0.525875451
520	0.5258396985
521	0.5258396983
522	0.525839698
523	0.5257558142
524	0.5257161593
525	0.5256335558
526	0.5256102393
527	0.5255944922
528	0.5255734521
529	0.5255732664
530	0.5255732663
531	0.5255732662
532	0.525525897
533	0.5255123947
534	0.5254860701
535	0.5254860697
536	0.5254860694
537	0.5254593821
538	0.5254592628
539	0.5253683849
540	0.5253296911
541	0.5253295966
542	0.5253161282
543	0.5252848618
544	0.5252848616
545	0.5251929751
546	0.5251344685
547	0.5251344682
548	0.5251344679
549	0.5251329111
