iter	Passed	Remaining
398	64565	24434
399	65015	24380
400	65441	24316
401	65511	24118
402	65552	23911
403	66089	23883
404	66105	23667
405	66120	23451
406	66550	23382
407	66570	23169
408	66953	23081
409	67410	23018
410	67860	22950
411	68062	22797
412	68461	22710
413	68859	22620
414	68884	22408
415	69298	22322
416	69314	22107
417	69329	21893
418	69375	21690
419	69763	21593
420	70129	21488
421	70512	21387
422	70527	21174
423	70545	20963
424	70565	20754
425	70599	20550
426	71087	20477
427	71496	20379
428	71511	20169
429	71527	19961
430	71870	19843
431	72306	19750
432	72695	19643
433	72829	19466
434	73160	19341
435	73596	19243
436	73981	19130
437	74001	18922
438	74032	18718
439	74046	18511
440	74460	18404
441	74850	18289
442	74896	18090
443	75538	18033
444	75556	17827
445	75899	17698
446	76292	17579
447	76678	17457
448	77020	17325
449	77396	17199
450	77440	16999
451	77457	16793
452	77482	16591
453	77834	16458
454	77855	16255
455	78229	16126
456	78659	16007
457	79012	15871
458	79030	15668
459	79076	15471
460	79096	15270
461	79110	15068
462	79137	14870
463	79166	14673
464	79255	14487
465	79274	14289
466	79660	14158
467	79675	13960
468	80081	13830
469	80096	13633
470	80467	13496
471	80908	13370
472	81295	13234
473	81776	13111
474	82209	12980
475	82543	12832
476	82995	12701
477	83011	12503
478	83435	12367
479	83816	12223
480	84237	12083
481	84252	11886
482	84267	11689
483	84283	11493
484	84297	11297
485	84350	11107
486	84380	10915
487	84399	10722
488	84735	10570
489	85112	10421
490	85485	10272
491	85533	10083
492	85552	9891
493	85884	9735
494	86265	9585
495	86319	9397
496	86718	9247
497	86755	9058
498	87148	8907
499	87583	8758
500	87669	8574
501	88120	8425
502	88486	8268
503	88517	8078
504	88950	7926
505	88967	7736
506	88985	7547
507	89388	7390
508	89826	7235
509	89882	7049
510	89917	6862
511	89941	6675
512	90486	6526
513	90528	6340
514	90548	6153
515	90976	5994
516	90990	5807
517	91412	5647
518	91434	5461
519	91868	5300
520	92280	5136
521	92297	4950
522	92314	4765
523	92698	4599
524	93125	4434
525	93477	4265
526	93872	4096
527	94290	3928
528	94646	3757
529	94665	3572
530	94681	3387
531	94698	3204
532	95201	3036
533	95237	2853
534	95617	2680
535	95635	2497
536	95649	2315
537	95761	2135
538	95779	1954
539	96140	1780
540	96497	1605
541	96514	1424
542	97018	1250
543	97379	1074
544	97395	893
545	97750	716
546	98127	538
547	98144	358
548	98159	178
549	98177	0
